数据指标,值样例,值的用途+举例,计算公式 (如果需要),优先级,来源,是否免费
"--- 代理输入信号 (Agent Inputs) ---",,,,,,,
每日ETF净流入/流出,"+$250,000,000","用途: 衡量机构资金入市强度，作为宏观趋势的关键指标。举例：ETF持续净流入，表明大资金看好后市，将显著提升MacroAgent的分数。",直接从数据源获取,高,"CoinGlass API, Farside Investors",部分免费 (实时API通常收费)
CME期货持仓报告,"Leveraged Funds: 80% Long","用途: 判断专业投资者情绪与市场杠杆水平。举例：杠杆基金净多头寸过高，可能预示市场过热和回调风险，会降低MacroAgent的分数。",直接从数据源获取,中,"CME Group API",是
联邦基金利率期货隐含降息概率,"80%","用途: 评估宏观货币政策宽松预期，宽松的预期利好风险资产。举例：降息概率超过某个阈值（如70%），表明市场预期流动性将增加，提升MacroAgent分数。",直接从数据源获取,高,"CME FedWatch Tool API",是
全球流动性指标 (如M2增长率),"+5%","用途: 衡量全球货币供应量，反映市场资金充裕度。举例：M2增长率持续为正，代表市场资金充裕，支撑资产价格，正面影响MacroAgent分数。",直接从数据源获取,中,"FRED API",是
MVRV Z-Score,"2.5","用途: 判断市场整体估值是否过高或过低。举例：Z-Score > 3 表示市场进入狂热阶段，是强烈的顶部风险信号，会大幅降低OnChainAgent的分数。","(Market Cap - Realized Cap) / Standard Deviation of Market Cap。Market Cap是当前市值，Realized Cap是所有代币最后移动时价值的总和。",高,"Glassnode API",否 (核心API需付费)
NVT Ratio,"60.0","用途: 评估网络价值相对链上交易量的合理性，类似于股票市盈率。举例：NVT过高可能意味着估值泡沫，是看跌信号，会降低OnChainAgent的分数。","Network Value (即 Market Cap) / Daily On-Chain Transaction Volume",中,"CryptoQuant API",否 (核心API需付费)
交易所净流量,"-10,000 BTC","用途: 判断市场抛压或长期持有意愿。举例：大量BTC流出交易所（负值）表明投资者倾向于囤积，是强烈的看涨信号，提升OnChainAgent分数。",流入交易所的总量 - 流出交易所的总量,高,"Chainalysis API, Nansen API, Glassnode API",否 (专业数据服务商均收费)
长期持有者持仓变化,"+2%","用途: 观察聪明钱（长期投资者）的行为，判断市场信心。举例：长期持有者持仓持续增加，表明市场根基稳固，是强看涨信号，提升OnChainAgent分数。",直接从数据源获取,高,"Glassnode API",否
活跃地址数,"1,100,000","用途: 衡量网络的基本面健康度和用户采纳度。举例：活跃地址数趋势性增长，代表网络价值的基本面支撑增强，正面影响OnChainAgent分数。",直接从数据源获取,中,"Glassnode API, 各区块链浏览器API",部分免费
Gas费趋势,"50 Gwei (上升趋势)","用途: 侧面反映链上活动的需求和拥堵程度。举例：在牛市中，Gas费持续上升反映了强烈的链上需求，是积极信号。LLM会结合市场周期进行综合判断。",直接从数据源获取,低,"Etherscan API 等",是 (有免费额度)
EMA(21)与EMA(55)相对位置,"EMA(21) > EMA(55)","用途: 判断长期趋势方向。举例：周线级别EMA(21)上穿EMA(55)形成“金叉”，是强烈的看涨趋势信号，显著提升TAAgent分数。","EMA_today = (Close_price * Multiplier) + EMA_yesterday * (1 - Multiplier)，其中 Multiplier = 2 / (周期 + 1)。分别计算21和55周期的EMA并比较大小。",高,"TradingView API, Binance Historical Data",部分免费
周线RSI(14),"75","用途: 识别市场的超买或超卖状态，用于风险控制和机会发现。举例：RSI > 80 表明市场严重超买，触发减仓评估；RSI < 30 表明超卖，是积累信号。","RSI = 100 - [100 / (1 + RS)]，其中 RS = 过去14个周期内上涨日的平均涨幅 / 过去14个周期内下跌日的平均跌幅。",高,"TradingView API, Binance Historical Data",部分免费
MACD Histogram,"+0.05 (增长)","用途: 衡量趋势的动能和强度。举例：MACD柱状图在零轴上方持续放大，表明上涨动能强劲，提升TAAgent分数。","MACD Histogram = MACD Line - Signal Line。其中 MACD Line = EMA(12) - EMA(26)；Signal Line = MACD Line的EMA(9)。",中,"TradingView API, Binance Historical Data",部分免费
Bollinger Bands宽度,"0.15","用途: 衡量市场波动性的收缩与扩张。举例：布林带宽度收窄到历史低位后开始扩张，预示着一轮大行情的启动，LLM会结合趋势方向给予加权。","(Upper Band - Lower Band) / Middle Band。其中 Upper/Lower Band = Middle Band ± (N * Standard Deviation)，Middle Band是SMA(20)。",低,"TradingView API, Binance Historical Data",部分免费
Crypto Fear & Greed Index,"20 (Extreme Fear)","用途: 作为独立的情绪过滤器和黑天鹅风险开关。举例：当指数 < 20 时，策略会强制暂停或减仓，即使其他指标看涨，以规避恐慌性抛售风险。",直接从数据源获取,高,"Alternative.me API 或类似来源",是
"--- 内部计算与决策指标 (Internal & Decision Metrics) ---",,,,,,,
波动率 (基于ATR),"6%","用途: 动态调整策略的决策频率和风险暴露。举例：当波动率 > 5%时，决策周期缩短至2小时，且计算出的信念分数会乘以0.8进行降权。","1. 计算TR = Max[(High - Low), Abs(High - Prev_Close), Abs(Low - Prev_Close)]。 2. ATR是TR的N周期(如14)平滑移动平均。 3. (ATR / Close_Price) * 100% 可得到波动率百分比。",高,"内部基于价格数据计算",不适用
MacroAgent Score,"+0.8","用途: 量化宏观经济环境对加密市场的影响。举例：此分数为+0.8，表示宏观环境非常有利，将对最终的信念分数产生40%权重的正面贡献。",基于输入数据（ETF流量, 利率预期等）通过LLM提示工程和规则逻辑生成，非固定数学公式。,极高,"内部AI代理计算",不适用
OnChainAgent Score,"+0.7","用途: 量化链上数据的健康状况。举例：此分数为+0.7，表示链上活动稳健且估值合理，将对最终的信念分数产生40%权重的正面贡献。",基于输入数据（MVRV, NVT等）通过LLM提示工程和规则逻辑生成，非固定数学公式。,极高,"内部AI代理计算",不适用
TAAgent Score,"+0.5","用途: 量化市场长期技术趋势的强度。举例：此分数为+0.5，表示技术面处于中性偏多趋势，将对最终的信念分数产生20%权重的正面贡献。",基于输入数据（EMA, RSI等）通过LLM提示工程和规则逻辑生成，非固定数学公式。,极高,"内部AI代理计算",不适用
Conviction Score,"75","用途: 最终的决策核心，融合所有代理信号以决定操作。举例：计算得出的信念分数为75（>70），触发“强信念区”逻辑，执行“买入”指令。","1. Raw Score = (MacroAgent_Score * 0.4) + (OnChainAgent_Score * 0.4) + (TAAgent_Score * 0.2)。 2. 标准化: Score = (Raw_Score + 1) * 50。 3. 波动/情绪调整: Score *= 0.8 (若波动率高) 或 Score -= 10% (若市场恐惧)。",极高,"内部基于各代理分数加权计算",不适用
"--- 绩效与风控监控指标 (Performance & Risk Metrics) ---",,,,,,,
Sharpe Ratio,"1.6","用途: 核心绩效指标，衡量风险调整后的回报。举例：策略目标为 > 1.5。季度审计时若发现该值 < 1.0，则触发策略参数优化流程。",(策略年化回报率 - 无风险利率) / 策略回报率的年化标准差,极高 (监控),"内部基于策略净值计算",不适用
Max Drawdown,"-25%","用途: 核心风控指标，衡量策略从最高点到最低点的最大亏损。举例：策略硬性风控目标为 < 30%。当实时回撤 > 20%时，将强制暂停策略一周。","(历史最低点净值 - 该点之前的历史最高点净值) / 该点之前的历史最高点净值,取所有回撤中的最大值。",极高 (监控),"内部基于策略净值计算",不适用
Sortino Ratio,"2.1","用途: 绩效监控指标，更精确地衡量下行风险调整后的回报。举例：策略目标为 > 2.0，用于评估策略在控制亏损方面的有效性。","(策略年化回报率 - 无风险利率) / 策略下行回报率的年化标准差 (只考虑亏损的波动)",中 (监控),"内部基于策略净值计算",不适用
Calmar Ratio,"0.6","用途: 绩效监控指标，衡量年化回报与最大回撤的比率，评估回撤后的恢复能力。举例：策略目标为 > 0.5。",策略年化回报率 / Max Drawdown的绝对值,中 (监控),"内部基于策略净值计算",不适用
VaR (Value at Risk),"-4% (单日)","用途: 日常风险管理工具，估算在特定概率下的最大可能损失。举例：每日计算95%置信度的VaR，目标是控制在 < 5%，确保单日风险暴露在可接受范围内。","通过历史模拟法、方差-协方差法或蒙特卡洛模拟，计算在给定置信度(如95%)下，投资组合在未来特定时期(如1天)内的最大可能损失。",中 (风控),"内部基于持仓和历史波动率计算",不适用